Token Count,Step Count,Actual Log-Likelihood,Retokenized Log-Likelihood,Class
100,250,-277.7648315,-277,0
100,250,-377.1977234,-377,0
100,250,-407.5367432,-407,0
100,250,-413.8908691,-413,0
100,250,-399.6784668,-399,0
100,250,-507.9113464,-508,0
100,250,-415.8393555,-415,0
100,250,-377.3526611,-377,0
100,250,-449.6020813,-449,0
100,250,-205.2022247,-205,0
100,250,-397.234436,-397,0
100,250,-502.1225586,-502,0
100,250,-292.0431824,-292,0
100,250,-469.9467163,-470,0
100,250,-421.8798218,-421,0
100,250,-488.4575195,-488,0
100,250,-416.7733765,-416,0
100,250,-357.1758423,-357,0
100,250,-433.2568359,-433,0
100,250,-389.2445679,-389,0
250,400,-1112.140503,-1112,0
250,400,-865.6334229,-865,0
250,400,-928.0501709,-928,0
250,400,-1019.483521,-1019,0
250,400,-921.8449707,-921,0
250,400,-781.9022827,-781,0
250,400,-975.9945068,-975,0
250,400,-1220.95459,-1220,0
250,400,-870.9432373,-870,0
250,400,-953.9758301,-953,0
250,400,-975.9452515,-975,0
250,400,-859.6802979,-859,0
250,400,-1042.544678,-1042,0
250,400,-955.9400635,-955,0
250,400,-1094.025879,-1094,0
250,400,-755.2556152,-755,0
250,400,-846.6517334,-846,0
250,400,-906.6393433,-906,0
250,400,-1057.299561,-1057,0
250,400,-993.3433838,-993,0
250,400,-837.4168701,-837,0
250,400,-556.510498,-556,0
250,400,-1012.141357,-1012,0
250,400,-1037.453491,-1037,0
250,400,-985.9929199,-985,0
250,400,-1240.964844,-1240,0
250,400,-963.2141113,-963,0
250,400,-1088.643433,-1089,0
250,400,-722.7041016,-722,0
250,400,-955.109314,-955,0
250,400,-1057.247803,-1057,0
250,400,-840.6705933,-840,0
250,400,-935.1642456,-935,0
250,400,-1150.331177,-1150,0
250,400,-1138.691162,-1138,0
250,400,-1039.499756,-1039,0
250,400,-1313.070801,-1313,0
250,400,-944.6091309,-944,0
250,400,-968.7966919,-968,0
250,400,-962.0824585,-962,0
250,400,-904.715332,-904,0
250,400,-946.4604492,-946,0
250,400,-1150.367432,-1150,0
250,400,-950.2807617,-950,0
250,400,-931.3996582,-931,0
250,400,-1000.150513,-1000,0
250,400,-963.9569702,-963,0
250,400,-988.4359131,-988,0
250,400,-878.6893311,-878,0
250,400,-1207.446777,-1207,0
250,400,-1047.468994,-1047,0
250,400,-860.2102051,-860,0
250,400,-1009.717773,-1009,0
250,400,-995.3468018,-995,0
250,400,-1021.082397,-1021,0
250,400,-1064.347412,-1064,0
400,500,-1491.3302,-1491,0
400,500,-1490.569458,-1490,0
400,500,-1380.405273,-1380,0
400,500,-1620.4375,-1620,0
400,500,-1570.621216,-1570,0
400,500,-1810.557739,-1810,0
400,500,-1643.845337,-1643,0
400,500,-1646.222412,-1646,0
400,500,-1296.191528,-1296,0
400,500,-1689.858765,-1689,0
400,500,-1195.324707,-1195,0
400,500,-1640.140991,-1640,0
400,500,-1552.884521,-1552,0
400,500,-1156.491211,-1156,0
400,500,-1482.601318,-1482,0
400,500,-1248.105957,-1248,0
400,500,-1722.813599,-1722,0
400,500,-1655.181152,-1655,0
400,500,-1365.391602,-1365,0
400,500,-1371.265381,-1371,0
400,500,-1496.75647,-1496,0
400,500,-1515.674072,-1515,0
400,500,-1469.542969,-1469,0
400,500,-1611.594604,-1611,0
400,500,-1359.384766,-1359,0
400,500,-1386.623047,-1386,0
400,500,-1272.669434,-1272,0
400,500,-1611.396729,-1611,0
400,500,-1687.521729,-1688,0
400,500,-1317.206909,-1318,0
400,500,-1459.302002,-1459,0
400,500,-1342.280273,-1342,0
400,500,-1731.110229,-1731,0
400,500,-1606.35791,-1606,0
400,500,-1435.69812,-1435,0
400,500,-1414.016113,-1414,0
400,500,-1764.618286,-1764,0
400,500,-1427.23584,-1427,0
400,500,-1418.018066,-1418,0
400,500,-1748.610107,-1748,0
400,500,-1475.669312,-1475,0
400,500,-1922.548828,-1922,0
400,500,-1691.228027,-1691,0
400,500,-1635.407715,-1635,0
500,600,-1856.973389,-1856,0
500,600,-2023.843506,-2023,0
500,600,-2168.306152,-2168,0
500,600,-1807.672363,-1807,0
500,600,-1725.39502,-1725,0
500,600,-2282.785156,-2282,0
500,600,-1861.979736,-1861,0
500,600,-1955.36438,-1955,0
500,600,-1995.629761,-1995,0
500,600,-2137.927734,-2137,0
500,600,-1795.062256,-1795,0
500,600,-1766.057373,-1766,0
500,600,-1640.336182,-1640,0
500,600,-1844.599121,-1844,0
500,600,-2098.547363,-2098,0
500,600,-2079.796387,-2079,0
500,600,-2126.184082,-2127,0
500,600,-1998.922974,-1998,0
500,600,-1987.111328,-1987,0
500,600,-1970.457642,-1970,0
500,600,-1869.656738,-1869,0
500,600,-1658.211548,-1658,0
500,600,-1767.175293,-1767,0
500,600,-2039.771118,-2040,0
500,600,-2292.011719,-2292,0
500,600,-1660.644531,-1660,0
500,600,-1729.817627,-1729,0
500,600,-1847.469238,-1847,0
500,600,-2064.104492,-2064,0
500,600,-1857.714478,-1857,0
500,600,-1792.658203,-1792,0
500,600,-1999.599976,-2000,0
500,600,-1796.380737,-1796,0
500,600,-1812.51416,-1813,0
500,600,-1936.095459,-1936,0
500,600,-1946.393066,-1946,0
500,600,-1896.290527,-1896,0
500,600,-2038.198242,-2038,0
750,750,-2848.870605,-2848,0
750,750,-2928.890381,-2929,0
750,750,-2803.950439,-2803,0
750,750,-2709.238281,-2709,0
750,750,-2650.251221,-2650,0
750,750,-2624.087891,-2624,0
750,750,-2601.587402,-2601,0
750,750,-2737.498535,-2737,0
750,750,-2984.022217,-2984,0
750,750,-2805.222168,-2806,0
750,750,-3089.300537,-3089,0
750,750,-2397.467773,-2397,0
750,750,-2678.478027,-2678,0
750,750,-2624.890625,-2625,0
750,750,-2637.596191,-2637,0
750,750,-2756.710938,-2756,0
750,750,-2632.727783,-2632,0
750,750,-2616.356934,-2616,0
750,750,-2659.616943,-2659,0
750,750,-2676.269043,-2676,0
750,750,-2830.609131,-2830,0
750,750,-3032.686523,-3032,0
750,750,-2977.07666,-2977,0
750,750,-2942.672607,-2942,0
750,750,-2751.731201,-2751,0
750,750,-2624.641113,-2624,0
750,750,-2935.932129,-2935,0
750,750,-2494.720215,-2494,0
750,750,-2591.25415,-2591,0
750,750,-3094.629395,-3094,0
750,750,-2873.354492,-2873,0
900,900,-2914.088379,-2914,0
900,900,-3583.412598,-3583,0
900,900,-3341.878418,-3341,0
900,900,-3565.86377,-3565,0
900,900,-3508.400879,-3508,0
900,900,-3796.058105,-3796,0
900,900,-3584.118652,-3584,0
900,900,-3111.970703,-3111,0
900,900,-3647.098145,-3647,0
900,900,-3304.629395,-3305,0
900,900,-3136.970459,-3136,0
900,900,-3649.201416,-3650,0
900,900,-3593.397461,-3593,0
900,900,-3621.582275,-3621,0
900,900,-3174.266602,-3174,0
900,900,-3255.36084,-3255,0
900,900,-3486.929688,-3486,0
900,900,-3370.440186,-3370,0
900,900,-3333.031738,-3333,0
900,900,-3414.990723,-3414,0
900,900,-3252.632324,-3252,0
900,900,-3062.400146,-3062,0
900,900,-3465.278809,-3465,0
900,900,-3082.926758,-3082,0
900,900,-3376.77124,-3376,0
900,900,-2799.662598,-2799,0
900,900,-3579.824463,-3579,0
900,900,-3583.801514,-3583,0
900,900,-3354.760498,-3354,0
900,900,-2947.133057,-2947,0
900,900,-3316.850098,-3316,0
900,900,-3506.952393,-3506,0
1000,1000,-3676.45166,-3676,0
1000,1000,-3995.277344,-3995,0
1000,1000,-4166.318359,-4166,0
1000,1000,-3326.455566,-3326,0
1000,1000,-3959.455078,-3959,0
1000,1000,-4017.077393,-4017,0
1000,1000,-3921.194824,-3922,0
1000,1000,-4022.250488,-4022,0
1000,1000,-3862.87793,-3862,0
1000,1000,-3359.711914,-3359,0
1000,1000,-3783.887695,-3783,0
1000,1000,-4093.292236,-4094,0
1000,1000,-3855.982422,-3855,0
1000,1000,-4119.427734,-4119,0
1000,1000,-3257.286133,-3257,0
1000,1000,-3695.726563,-3695,0
1000,1000,-3868.527588,-3868,0
1000,1000,-3606.105225,-3606,0
1000,1000,-3840.167969,-3840,0
1000,1000,-3911.447266,-3911,0
1000,1000,-3279.525146,-3279,0
1000,1000,-4195.142578,-4195,0
1000,1000,-3775.584229,-3775,0
1000,1000,-3612.872559,-3612,0
1000,1000,-3719.894043,-3719,0
1000,1000,-3121.068848,-3121,0
